"","ZIP","CAPACITY","COUNT"
"423","08091",1882.376,211
"424","08092",2233.41,208
"425","08093",1713.435,223
"426","08094",17273.046,1850
"427","08095",257.74,22
"428","08096",7391.157,882
"429","08097",673.84,74
"430","08098",4767.994,398
"431","08102",39,5
"432","08103",83.29,12
"433","08104",115.95,20
"434","08105",839.94,130
"435","08106",1394.239,162
"436","08107",1057.865,156
"437","08108",1321.218,211
"438","08109",3957.281,531
"439","08110",3228.28,450
"440","08195",7.04,1
"441","08201",4847.706,542
"442","08202",469.111,70
"443","08203",3146.725,397
"444","08204",8542.946,981
"445","08205",10754.377,1310
"446","08210",8317.686,833
"447","08212",179.19,28
"448","08213",204.065,18
"449","08214",362.69,33
"450","08215",6338.389,605
"451","08217",382.78,36
"452","08218",215.485,20
"453","08219",313.405,31
"454","08220",142.42,13
"455","08221",2581.267,259
"456","08223",2540.747,254
"457","08224",516.23,46
"458","08225",4211.36,505
"459","08226",1646.77,239
"460","08228",4.94,1
"461","08230",2768.644,258
"462","08231",172.11,12
"463","08232",6240.484,855
"464","08233",17.64,2
"465","08234",24828.022,2753
"466","08240",611.59,72
"467","08241",1266.94,110
"468","08242",2105.33,240
"469","08243",260.375,49
"470","08244",2406.21,305
"471","08245",329.45,26
"472","08246",253.575,23
"473","08247",233.925,36
"474","08248",62.9,9
"475","08249",7.25,1
"476","08250",80.4,12
"477","08251",7012.61,897
"478","08252",238.28,23
"479","08255",8.84,1
"480","08257",6.5,1
"481","08260",3937.823,579
"482","08266",11.7,1
"483","08270",3078.031,293
"484","08300",10.71,1
"485","08302",10668.578,1023
"486","08304",4.35,1
"487","08310",897.92,82
"488","08311",1303.295,121
"489","08312",3381.12,412
"490","08313",69.86,6
"491","08314",193.67,19
"492","08315",86.205,8
"493","08316",346.55,33
"494","08317",868.096,77
"495","08318",5281.018,482
"496","08319",1295.343,104
"497","08320",116.56,9
"498","08321",108.9,17
"499","08322",5237.347,477
"500","08323",197.235,19
"501","08324",245.429,19
"502","08326",707.505,73
"503","08327",508.375,54
"504","08328",441.786,43
"505","08329",52.93,6
"506","08330",10961.856,1220
"507","08332",12106.131,1334
"508","08337",3.24,1
"509","08340",750.125,59
"510","08341",492.25,53
"511","08342",152.91,15
"512","08343",2910.545,252
"513","08344",2197.825,206
"514","08345",444.915,42
"515","08346",602.395,59
"516","08347",135.86,11
"517","08348",150.365,13
"518","08349",695.644,69
"519","08350",414.24,38
"520","08351",29.6,2
"521","08352",35.95,3
"522","08353",106.22,12
"523","08356",12.4,1
"524","08358",7.521,1
"525","08360",5914.663,816
"526","08361",1628.328,241
"527","08400",2.6,1
"528","08401",2053.213,326
"529","08402",1437.229,206
"530","08403",232.615,30
"531","08405",5.4,1
"532","08406",2367.125,316
"533","08501",2069.515,206
"534","08502",2115.81,217
"535","08504",32.08,3
"536","08505",4734.771,560
"537","08510",882.358,69
"538","08511",431.726,40
"539","08512",2560.54,197
"540","08514",1516.523,135
"541","08515",2268.057,246
"542","08518",1174.395,141
"543","08520",3393.124,400
"544","08521",9.36,1
"545","08525",1131.183,109
"546","08526",23.528,2
"547","08527",15233.334,1620
"548","08528",77.37,10
"549","08530",1089.214,108
