"","ZIP","CAPACITY","COUNT","Zip_Income","Zip_Perc_White","Zip_Perc_Male"
"185","07640",196.8,20,1626,77.4,49.7
"186","07641",183.575,21,1113,80.6,49.6
"187","07642",463.557,51,3475,85.1,48
"188","07643",1440.064,219,4096,62.9,51.7
"189","07644",2462.883,385,8805,74.6,47.1
"190","07645",314.24,32,2975,78.4,46.1
"191","07646",750.481,109,5859,72.2,49.2
"192","07647",435.617,51,1713,70.8,49.4
"193","07648",322.43,31,2160,67.2,44.5
"194","07649",254.185,31,2788,77.3,51.2
"195","07650",221.15,30,7403,31.3,51
"196","07652",2714.604,261,8232,66.4,49.6
"197","07653",29.74,5,NA,NA,NA
"198","07656",70.06,7,3259,93.3,50.7
"199","07657",427.565,56,3827,63.4,48.6
"200","07660",658.598,104,4720,73.4,48.9
"201","07661",697.355,81,3867,69.1,47.6
"202","07662",672.845,98,2001,75.3,49
"203","07663",1743.315,278,5328,84.6,49.8
"204","07666",3090.121,464,13072,57.4,49.3
"205","07667",7.56,1,NA,NA,NA
"206","07670",437.371,50,4690,65.1,49.9
"207","07675",1489.652,157,10034,82.2,49.3
"208","07676",283.9,26,3320,92.6,48.8
"209","07677",216.72,19,1963,91.1,45.1
"210","07701",1980.359,254,9950,80.7,48.9
"211","07702",422.605,47,1434,94,45.8
"212","07704",265.467,33,1822,95.1,48
"213","077046",6.93,1,NA,NA,NA
"214","07710",44.17,4,NA,NA,NA
"215","07711",66.63,9,605,97,50.7
"216","07712",3164.766,392,16726,63.2,48.9
"217","07713",9.25,1,NA,NA,NA
"218","07715",11.02,1,NA,NA,NA
"219","07716",971.565,122,3572,96.2,53.3
"220","07717",114.81,20,897,94.4,44.3
"221","07718",1095.415,144,2355,91.5,50.3
"222","07719",3605.317,428,8395,94.6,49.6
"223","07720",350.7,54,2152,89.3,48.7
"224","07721",618.91,80,1247,64.2,47.2
"225","07722",1292.179,108,3282,95.8,48.9
"226","07723",77.26,5,279,93.2,46.9
"227","07724",2687.253,314,8740,75.3,49.1
"228","07726",7203.364,747,15482,87.3,48.7
"229","07727",1641.672,167,2532,80,44.3
"230","07728",9460.366,981,19954,80.7,49.1
"231","07730",3701.291,451,5821,92.7,47.4
"232","07731",11575.002,1299,12792,85.5,50.5
"233","07732",350.194,54,2658,86.6,53
"234","07733",1975.765,181,5831,77.3,46.7
"235","07734",2366.5,317,4861,79,47.8
"236","07735",4820.167,638,7104,84,46.6
"237","07737",869.357,99,1435,87.5,48.8
"238","07738",670.488,74,2089,90.6,51.5
"239","07739",463.873,52,2043,98.4,47.3
"240","07740",3001.196,406,12130,67.2,49.7
"241","07746",3916.397,407,5874,78.3,47.2
"242","07747",3692.79,417,11892,80.1,48.6
"243","07748",3441.254,416,9645,93.9,49.1
"244","07750",453.589,54,1414,96.5,47.7
"245","07751",3642.195,344,6222,72.8,46.8
"246","07752",37.74,2,NA,NA,NA
"247","07753",6942.578,914,15730,60.2,46.6
"248","07755",819.991,89,2222,91.2,49.9
"249","07756",35.645,8,1937,93.4,39.1
"250","07757",948.272,103,2238,94.8,48.6
"251","07758",1253.578,165,1572,89.9,48.9
"252","07760",607.877,89,3128,95.8,50.1
"253","07762",798.615,121,4038,93.6,47.4
"254","07763",7.91,1,NA,NA,NA
"255","07764",1102.353,120,2485,91.3,46.1
"256","07765",44.7,4,NA,NA,NA
"257","07769",8.71,1,NA,NA,NA
"258","07801",2331.17,353,8123,64.8,50.8
"259","07802",5.5,1,NA,NA,NA
"260","07803",568.07,80,1257,79.1,49
"261","07806",7.35,1,NA,NA,NA
"262","07820",58.83,5,0,50,100
"263","07821",1218.566,120,3352,92.9,50.8
"264","07822",187.58,21,279,89,51.4
"265","07823",667.42,66,3331,94.9,49.1
"266","07825",1815.193,164,3489,95.3,52.3
"267","07826",835.854,68,2261,97.3,50.2
"268","07827",510.839,64,1668,95.3,53.8
"269","07828",885.091,109,5854,80.4,50.3
"270","07829",8.4,1,NA,NA,NA
"271","07830",1089.897,93,2338,96.1,46
"272","07831",21.58,3,NA,NA,NA
"273","07832",538.89,47,1273,92.2,46.3
"274","07833",4.69,1,56,100,60.7
"275","07834",966.76,109,6803,86.2,48.4
"276","07836",1050.674,117,4536,86.9,50.9
"277","07838",276.505,31,1139,95.2,52.1
"278","07839",62.625,2,NA,NA,NA
"279","07840",2036.569,236,11754,84.1,48.5
"280","07842",9.59,2,45,87.4,47.4
"281","07843",1101.695,130,4556,86.2,50.6
"282","07844",100.695,10,NA,NA,NA
"283","07845",8.4,1,NA,NA,NA
"284","07846",8.4,1,15,100,58.2
"285","07847",196.135,27,746,85.7,54.9
"286","07848",819.115,63,1724,92.8,47.7
"287","07849",972.18,118,3670,85.5,52.1
"288","07850",484.64,61,2238,79.6,47.4
"289","07851",35.84,2,29,95.1,52.5
"290","07852",310.215,35,1495,75.4,43.4
"291","07853",1461.026,128,4181,93.7,49.5
"292","07855",12.24,1,NA,NA,NA
"293","07856",202.38,21,1748,83.5,47.1
"294","07857",219.99,29,1430,89.1,47.4
"295","07860",3166.744,319,9568,94.1,49.9
"296","07863",448.89,45,1465,93.9,50.6
"297","07865",388.245,39,665,95.9,47.9
"298","07866",1604.38,196,8623,86.5,49.2
"299","07869",1459.661,151,9169,80.1,49.6
"300","07871",1637.409,147,7188,92.7,48.5
"301","07874",600.46,66,3055,90.5,47.1
"302","07875",4.96,1,NA,NA,NA
"303","07876",998.131,125,3548,90.5,47.1
"304","07877",17.93,2,NA,NA,NA
"305","07878",15.93,3,240,82.6,38.6
"306","07879",3.795,1,NA,NA,NA
"307","07880",49.53,5,60,100,44.3
"308","07882",1651.354,174,5676,89.1,48.8
"309","07885",1140.378,171,3837,76.6,51.4
"310","07901",542.251,61,8376,74.8,47.5
"311","07920",1158.804,113,9802,73.7,48.8
"312","07921",445.122,34,3794,86.8,45.3
"313","07922",483.026,53,4144,81.4,47.6
"314","07924",337.042,32,2581,90,52.2
"315","07926",32.05,4,9,100,0
"316","07927",199.935,24,1590,72.7,50.4
"317","07928",516.445,55,6482,84.7,48.1
"318","07930",715.476,56,3027,89,51.1
"319","07931",632.899,33,1031,90.3,53.5
"320","07932",372.864,40,3992,87.7,49.9
"321","07933",232.35,23,1116,95.6,50.5
"322","07934",210.971,13,516,95.9,44.3
"323","07935",25.494,4,141,100,43
"324","07936",914.44,98,3771,85.2,44
