"","COUNTY","CUSTOMER_TYPE","THIRD_PARTY_OWNERSHIP","CAPACITY","COUNT"
"181","Mercer","School Public K-12","Yes",2123.59,7
"182","Mercer","SUNLIT","No",170.74,7
"183","Middlesex","Commercial","No",181169.343,358
"184","Middlesex","Commercial","Yes",132764.967,179
"185","Middlesex","Farm","No",108.436,3
"186","Middlesex","Government Facility","No",287.208,2
"187","Middlesex","Government Facility","Yes",6498.69,6
"188","Middlesex","Municipality","No",1439.707,16
"189","Middlesex","Municipality","Yes",13725.65,13
"190","Middlesex","Non Profit","No",609.997,15
"191","Middlesex","Non Profit","Yes",640.98,11
"192","Middlesex","Public University","No",1346.8,1
"193","Middlesex","Public University","Yes",9117.16,3
"194","Middlesex","Residential","No",34492.557,4018
"195","Middlesex","Residential","Yes",65208.222,8629
"196","Middlesex","School Other","No",175,1
"197","Middlesex","School Other","Yes",233.375,3
"198","Middlesex","School Public K-12","No",5188.794,30
"199","Middlesex","School Public K-12","Yes",16646.455,45
"200","Monmouth","Commercial","No",82760.456,345
"201","Monmouth","Commercial","Yes",62658.902,160
"202","Monmouth","Farm","No",244.755,15
"203","Monmouth","Farm","Yes",41.18,1
"204","Monmouth","Government Facility","No",29547.014,5
"205","Monmouth","Government Facility","Yes",322.69,4
"206","Monmouth","Municipality","No",1599.367,12
"207","Monmouth","Municipality","Yes",2301.61,10
"208","Monmouth","Non Profit","No",4553.501,28
"209","Monmouth","Non Profit","Yes",7705.77,38
"210","Monmouth","Private University","No",118.56,1
"211","Monmouth","Private University","Yes",243.88,4
"212","Monmouth","Public University","No",324.48,1
"213","Monmouth","Residential","No",32122.99,3433
"214","Monmouth","Residential","Yes",68936.923,8179
"215","Monmouth","School Other","No",237.373,7
"216","Monmouth","School Other","Yes",699.98,4
"217","Monmouth","School Public K-12","No",2512.239,13
"218","Monmouth","School Public K-12","Yes",19907.39,67
"219","Monmouth","SUNLIT","No",20.16,1
"220","Morris","Commercial","No",34839.872,174
"221","Morris","Commercial","Yes",44266.506,84
"222","Morris","Farm","No",22.08,1
"223","Morris","Government Facility","No",624.91,1
"224","Morris","Government Facility","Yes",254.13,1
"225","Morris","Municipality","No",704.75,3
"226","Morris","Municipality","Yes",2273.415,2
"227","Morris","Non Profit","No",207.2,10
"228","Morris","Non Profit","Yes",702.75,7
"229","Morris","Private University","No",16.632,1
"230","Morris","Public University","No",28.675,1
"231","Morris","Public University","Yes",3435.85,1
"232","Morris","Residential","No",11967.229,1273
"233","Morris","Residential","Yes",18263.232,2340
"234","Morris","School Other","No",1690.51,5
"235","Morris","School Other","Yes",789.5,3
"236","Morris","School Public K-12","No",599.04,2
"237","Morris","School Public K-12","Yes",3703.59,26
"238","Morris","SUNLIT","No",92.736,2
"239","Ocean","Commercial","No",28849.176,253
"240","Ocean","Commercial","Yes",83200.454,106
"241","Ocean","Farm","No",58.48,4
"242","Ocean","Government Facility","No",202.76,3
"243","Ocean","Government Facility","Yes",14912.55,7
"244","Ocean","Municipality","No",660.396,10
"245","Ocean","Municipality","Yes",5851.615,9
"246","Ocean","Non Profit","No",1857.966,30
"247","Ocean","Non Profit","Yes",5808.21,79
"248","Ocean","Private University","Yes",615.45,5
"249","Ocean","Public University","No",13.16,1
"250","Ocean","Residential","No",38260.177,4117
"251","Ocean","Residential","Yes",132462.318,15844
"252","Ocean","School Other","No",297.95,3
"253","Ocean","School Other","Yes",2112.025,15
"254","Ocean","School Public K-12","No",5224.121,23
"255","Ocean","School Public K-12","Yes",16208.495,41
"256","Ocean","SUNLIT","No",187.47,2
"257","Passaic","Commercial","No",37814.094,175
"258","Passaic","Commercial","Yes",8461.508,43
"259","Passaic","Government Facility","Yes",241.5,1
"260","Passaic","Non Profit","No",259.486,12
"261","Passaic","Non Profit","Yes",260.41,8
"262","Passaic","Public University","No",1022.43,4
"263","Passaic","Public University","Yes",1994.33,5
"264","Passaic","Residential","No",8784.392,1087
"265","Passaic","Residential","Yes",20077.898,2773
"266","Passaic","School Other","Yes",258.64,1
"267","Passaic","School Public K-12","No",452.4,1
"268","Passaic","School Public K-12","Yes",6294.665,26
"269","Passaic","SUNLIT","No",137.64,2
"270","Salem","Commercial","No",6437.3,62
"271","Salem","Commercial","Yes",23312.11,32
"272","Salem","Farm","No",900.199,19
"273","Salem","Farm","Yes",43.24,1
"274","Salem","Municipality","No",134.55,5
"275","Salem","Municipality","Yes",507.6,9
"276","Salem","Non Profit","No",105.49,5
"277","Salem","Non Profit","Yes",1117.11,37
"278","Salem","Public University","Yes",515.57,1
"279","Salem","Residential","No",9101.87,798
"280","Salem","Residential","Yes",21584.785,2042
"281","Salem","School Other","Yes",132.82,4
"282","Salem","School Public K-12","No",271.25,3
"283","Salem","School Public K-12","Yes",2239.83,6
"284","Salem","SUNLIT","No",99.792,1
"285","Somerset","Commercial","No",55986.156,192
"286","Somerset","Commercial","Yes",43656.087,63
"287","Somerset","Farm","No",227.256,9
"288","Somerset","Farm","Yes",917.4,2
"289","Somerset","Government Facility","No",189,1
"290","Somerset","Government Facility","Yes",73.65,3
"291","Somerset","Municipality","No",371.36,3
"292","Somerset","Municipality","Yes",2936.595,16
"293","Somerset","Non Profit","No",3215.1,22
"294","Somerset","Non Profit","Yes",2513.025,23
"295","Somerset","Public University","Yes",490.49,2
"296","Somerset","Residential","No",20831.114,2202
"297","Somerset","Residential","Yes",19343.045,2425
"298","Somerset","School Other","No",186.336,3
"299","Somerset","School Other","Yes",843.92,2
"300","Somerset","School Public K-12","No",734.97,6
"301","Somerset","School Public K-12","Yes",8096.16,30
"302","Somerset","SUNLIT","No",111.032,4
"303","Sussex","Commercial","No",35822.377,71
"304","Sussex","Commercial","Yes",7407.557,21
"305","Sussex","Farm","No",7125.57,8
