"","ZIP","CAPACITY","COUNT","Income","Perc_White","Perc_Male","Total_Occ_House","Adoption_Rate"
"113","07307",562.229,98,15721,46.4,50.3,15721,0.00623370014630113
"114","07310",4.14,1,6097,29.4,52.6,6097,0.000164015089388224
"115","07331",10.07,2,NA,NA,NA,NA,NA
"116","07401",133.34,15,2210,85.5,44.7,2210,0.00678733031674208
"117","07403",69.865,12,2953,89.8,48.3,2953,0.00406366407043684
"118","07405",237.213,23,6394,90.9,50.5,6394,0.00359712230215827
"119","07407",1643.269,242,6738,76,46.8,6738,0.0359157019887207
"120","07410",2908.465,407,11387,82.4,48.7,11387,0.0357425133924651
"121","07416",382.04,44,2232,94.5,46.7,2232,0.0197132616487455
"122","07417",368.48,27,3845,87.6,50.1,3845,0.0070221066319896
"123","07418",313.913,35,762,86.7,55.6,762,0.0459317585301837
"124","07419",406.999,45,3592,91.6,52.2,3592,0.0125278396436526
"125","07420",231.832,27,1716,82.5,50,1716,0.0157342657342657
"126","07421",797.745,87,2653,87.8,50.2,2653,0.0327930644553336
"127","07422",111.65,14,2334,93.4,49.2,2334,0.00599828620394173
"128","07423",135.62,10,1438,85.3,45.6,1438,0.00695410292072323
"129","07424",1870.676,242,9756,83.4,47.7,9756,0.0248052480524805
"130","07428",15.98,2,NA,NA,NA,NA,NA
"131","07430",1081.506,113,9778,81.5,46,9778,0.0115565555328288
"132","07432",152.774,22,2669,91.8,48.6,2669,0.00824278756088423
"133","07435",209.26,27,852,88.1,49.5,852,0.0316901408450704
"134","07436",388.988,50,4237,91,48.4,4237,0.0118008024545669
"135","07438",1201.195,131,4386,92.7,48.8,4386,0.0298677610579115
"136","07439",226.64,29,827,93.6,50.8,827,0.0350665054413543
"137","07440",463.748,55,1513,96.2,50.7,1513,0.0363516192994052
"138","07442",563.63,66,4004,85.9,50.3,4004,0.0164835164835165
"139","07444",426.244,52,4658,94.9,47.1,4658,0.0111635895234006
"140","07446",464.16,51,5512,90.9,49.3,5512,0.00925253991291727
"141","07450",600.064,81,8310,78.9,48.2,8310,0.00974729241877256
"142","07451",6.11,1,NA,NA,NA,NA,NA
"143","07452",457.325,56,3776,82.4,49.4,3776,0.0148305084745763
"144","07456",672.299,78,4092,90.9,49,4092,0.0190615835777126
"145","07457",152.15,17,1817,89.5,48,1817,0.00935608145294441
"146","07458",597.93,45,3859,73.9,50.9,3859,0.0116610520860327
